Date,Headline,Conflict Type,Country,Region,Description,Sources
1967,Israel attacks Jordan water works,Casualty,"Israel, Jordan",Western Asia,"Israel destroys the Arab diversion works on the Jordan River headwaters. During Arab-Israeli War Israel occupies Golan Heights, with Banias tributary to the Jordan; Israel occupies West Bank.",Gleick 1993
1967-1972,US attempts to flood Vietnam,Weapon,Vietnam,Southeast Asia,"The US military, in 'Operation Popeye,' uses silver iodide for cloud seeding over Indochina (Vietnam), in an attempt to extend the monsoon season and stop the flow of materiel along Ho Chi Minh trail. ""Continuous rainfall was intended to slow down the truck traffic and was relatively successful.""",Plant 1995
1968,Youth International Party threatens to spike Chicago's water supply with LSD ahead of Democratic National Convention,Weapon,United States,North America,The Youth International Party in the United States threatens to spike Lake Michigan with the hallucinogenic LSD. Lake Michigan serves as the city of Chicago's drinking water supply. The threat is targeted at the Democratic National Convention of 1968. No known poisonings occur.,Mohtadi and Murshid 2006
1969,Israel destroys Jordan canals,Casualty,"Israel, Jordan",Western Asia,"Israel, suspicious that Jordan is over-diverting the Yarmouk, leads two raids to destroy the newly-built East Ghor Canal, Secret negotiations, mediated by the US, lead to an agreement in 1970.",Samson and Charrier 1997
1969,Palestinian group attempts to pollute Israeli water with attack on an oil pipeline,Casualty,Jordan,Western Asia,"The Popular Front for the Liberation of Palestine (PFLP) places an explosive device on the Trans-Arabian Pipeline in Jordan in an attempt to pollute water that provides drinking water and water for fisheries to Israel in the Hutch Valley. While the explosive device did cause significant damage to the pipeline, reports do not indicate that water supplies were affected.",RAND Database of Worldwide Terrorism Incidents 2018
1970,Alleged plot on US water supply,Weapon,United States,North America,"The Weathermen, a group opposed to American imperialism and the Vietnam War, allegedly attempts to obtain biological agents to contaminate the water supply systems of US urban centers.",Kupperman and Trent 1979
1970,Violent conflicts over use of China's Zhang River,Trigger,China,Eastern Asia,"Conflicts over excessive water withdrawals and subsequent water shortages from China's Zhang River have been worsening for over three decades between villages in Shenxian and Linzhou counties. In the 1970s, militias from competing villages fight over withdrawals. (See also entries for 1976, 1991, 1992, and 1999.)",China Water Resources Daily 2002
1970,Pipeline bombed during a labor dispute in California,Weapon,United States,North America,"During a labor dispute, a pipeline carrying brine to the American Potash Plant in Trona, CA, is bombed, causing destruction of the pipeline and causing the fire hydrants in the town to dry up for several hours.",Committee on Government Operations United States Senate (CGOUSS) 1970
1970,Water-cooling unit is bombed at a Louisiana country club,Casualty,United States,North America,"A water cooling unit is bombed at a country club in Louisiana, USA. Suspects are thought to be black nationalists seeking revenge. No casualties are reported.",Committee on Government Operations United States Senate (CGOUSS) 1970
1970,Neo-Nazis drop bombs in Maryland sewage plant,Casualty,United States,North America,"A group of teenagers associated with a neo-Nazi group attempt to spark racial conflict by dropping bombs into a sewage pumping station in Maryland, USA, an event they hope will be blamed on African Americans. Damage is caused to the pumping station.",Baltimore Sun 1970
1970,"Ku Klux Klan poisons livestock water supply owned by black Muslim group in Alabama, US",Weapon,United States,North America,"Members of the Ku Klux Klan poison the water supply used for livestock on a farm owned by black Muslims in Ashville, Alabama. 30 cows are killed and at least nine others are sickened.",Mohtadi and Murshid 2006
1972,Attempt to poison Chicago's waters,Weapon,United States,North America,"Two members of the right-wing ""Order of the Rising Sun"" are arrested in Chicago with 30-40 kg of typhoid cultures with which they allegedly planned to poison the water supply in Chicago, St. Louis, and other cities. Experts say the plan is unlikely to cause health problems due to water chlorination.",Eitzen and Takafuji 1997
1972,New York water threatened,Weapon,United States,North America,Reported threat to contaminate water supply of New York City with nerve gas.,Purver 1995
1972,US bombs water works in Vietnam,Casualty,Vietnam,Southeast Asia,"United States bombs dikes in the Red River delta, rivers, and canals during massive bombing campaign.",Columbia Encyclopedia 2000a
1973,German water supply threatened,Weapon,Germany,Western Europe,A German biologist threatens to contaminate water supplies with bacilli of anthrax and botulinum toxin unless he is paid $8.5 million.,Jenkins and Rubin 1978
1974,Iraq threatens Syria dam,"Trigger, Casualty","Iraq, Syria",Western Asia,"Iraq threatens to bomb the Euphrates dam (also known as al-Thawra or Tabqa dam) in Syria and massed troops along the border, alleging that the dam had reduced the flow of Euphrates River water to Iraq.",Gleick 1994
1974,Multiple attacks on water infrastructure in Puerto Rico,Casualty,Puerto Rico,Latin America and the Ca,"Striking workers are thought to be the cause of multiple attacks on various water infrastructure run by the Puerto Rico Aqueduct and Sewers Authority, a government-owned water agency. One attack destroys water pipes connected to two major refineries, while another leaves a large portion of the City of San Juan without running water for an entire day. The attacks are attributed to a group known as the Armed Forces for National Liberation, however no direct link has been made proving their connection.","New York Times, The 1974"
1975,"Iraq, Syria mobilize troops over drought tensions",Trigger,"Iraq, Syria",Western Asia,"As upstream dams are filled during a low-flow year on the Euphrates, Iraqis claim that flow reaching its territory is ""intolerable"" and asks the Arab League to intervene. Syrians claim they are receiving less than half the river's normal flow and pull out of an Arab League technical committee formed to mediate the conflict. In May Syria closes its airspace to Iraqi flights and both Syrian and Iraq reportedly transfer troops to their mutual border. Saudi Arabia successfully mediates the conflict.",Gleick 1993
1975,South Africa takes over Angolan dam,Trigger,"Angola, South Africa",Sub-Saharan Africa,"South African troops move into Angola to occupy and defend the Ruacana hydropower complex, including the Gove Dam on the Kunene River. Goal is to take possession of and defend the water resources of southwestern Africa and Namibia.",Meissner 2000
1976,Militia Chief shot in China's Zhang River conflict,Trigger,China,Eastern Asia,"A local militia chief is shot to death in a clash over the damming of Zhang River. Conflicts over excessive water withdrawals and subsequent water shortages from China's Zhang River have been worsening for over three decades. (See also entries for 1970, 1991, 1992, 1999.)",China Water Resources Daily 2002
1976,Resident blows up gates diverting water to the Los Angeles Aqueduct,"Trigger, Casualty",United States,North America,"Gates diverting water to the Los Angeles Aqueduct from the Owens Valley are dynamited, leading to 100 million gallons of water flows returning to Owens Lake.",Sahagun 2013
1976,Bacteriological agent used to poison groundwater and surface water in Mozambique,Weapon,Mozambique,Sub-Saharan Africa,An unidentified bacteriological agent is found in groundwater and surface water sources in Mozambique. Sources report that the Rhodesian government had deposited the agent to target the black population in the country.,Mohtadi and Murshid 2006
1977,North Carolina reservoir poisoned,Weapon,United States,North America,"Contamination of a North Carolina reservoir with unknown materials. According to Clark: ""Safety caps and valves were removed, and poison chemicals were sent into the reservoir....Water had to be brought in.""",Clark 1980
1977,Explosions damage water system at British military base,Casualty,Greece,Southern Europe,"Four separate explosions occur at several British military bases, one damaging the water system at Akrotiri (Santorini), an airbase near Limassol, in southern Cyprus, Greece.",RAND Database of Worldwide Terrorism Incidents 2018
1978,"Bombing of water plant in Puerto Rico cuts off water for 30,000",Casualty,Puerto Rico,Latin America and the Ca,"Puerto Rican nationalists are suspected in the bombing of a substation owned by Water Resource Authority. This incident leaves approximately 30,000 people in San Juan without electricity. This bombing is linked to a larger group of violent attacks on the state-owned Water Resources Authority.",Sater 1981
1978-1984,Sudan kills canal protestors,"Trigger, Casualty",Sudan,Northern Africa,"Demonstrations in Juba, Sudan in 1978 opposing the construction of the Jonglei Canal lead to the deaths of two students. Construction of the Jonglei Canal in the Sudan is suspended in 1984 following a series of attacks on the construction site.",Suliman 1998
