,P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),Dividend %,ROE,ROI,EPS Q/Q,Insider Own
AVGOP,,,,,,,,,,,
AVGR,1.48,-,-,-,0.86,-1.31,-,-279.70%,-,88.70%,0.40%
AVID,-,29.01,12.44,1.93,-,0.42,-,-12.50%,46.00%,146.20%,5.00%
AVIR,-,-,-,-,-,-0.28,-,-,-,-355.70%,3.50%
AVNW,2.49,31.80,-,2.65,0.00,1.10,-,8.80%,-0.10%,10892.60%,4.30%
AVO,-,26.60,15.30,24.18,0.53,0.51,-,-,14.60%,-211.00%,18.40%
AVRO,2.37,-,-,-,0.00,-3.30,-,-51.30%,-,-78.30%,2.16%
AVT,0.83,-,12.44,-,0.36,-0.91,2.64%,-2.40%,1.50%,-147.70%,0.40%
AVXL,12.95,-,-,-,0.00,-0.43,-,-101.10%,-,16.50%,4.04%
AWH,34.14,-,-,-,0.15,-0.15,-,-169.70%,-152.80%,-5.60%,1.50%
AWRE,1.45,-,-,-,0.00,-0.63,-,-26.60%,-17.50%,-,23.80%
AXAS,-,-,-,-,-,-22.06,-,-238.80%,-8.70%,-538.10%,2.98%
AXDX,-,-,-,-,-,-1.46,-,275.70%,-59.30%,11.50%,40.51%
AXGN,5.03,-,-,-,0.26,-0.63,-,-19.90%,-23.80%,73.90%,2.50%
AXLA,2.28,-,-,-,0.00,-2.14,-,-79.10%,-,55.10%,17.28%
AXNX,5.57,-,-,-,0.07,-1.96,-,-28.00%,-39.60%,73.50%,1.80%
AXSM,20.37,-,-,-,0.35,-2.70,-,-63.10%,-,-10.60%,20.99%
AXTI,2.04,-,55.98,-,0.02,-0.02,-,-0.50%,0.00%,201.30%,6.00%
AY,2.45,58.32,33.75,1.18,4.34,0.60,4.84%,4.40%,6.60%,99.10%,44.69%
AYLA,2.71,-,-,-,0.00,-2.33,-,-,46.30%,-,50.28%
AYRO,5.58,2.74,-,-,0.01,2.65,-,-,-,85.80%,9.60%
AYTU,1.16,-,-,-,0.00,-0.23,-,-18.00%,-,89.00%,1.70%
AZN,11.48,56.14,17.90,2.92,1.83,0.95,2.62%,20.70%,8.30%,116.60%,0.50%
AZPN,23.23,40.09,26.34,20.04,1.12,3.29,-,63.90%,39.50%,-27.60%,0.40%
AZRX,1.59,-,-,-,0.00,-0.88,-,-472.30%,-,-181.20%,11.09%
AZYO,-,-,-,-,-,-2.23,-,-,28.80%,-69.20%,8.20%
BAND,12.16,-,443.63,-,0.89,-1.09,-,-8.50%,0.00%,-124.80%,0.90%
BANF,1.78,18.92,17.00,2.70,0.03,3.00,2.40%,9.70%,23.20%,-37.10%,0.10%
BANFP,,,,,,,,,,,
BANR,0.92,13.78,12.93,1.97,0.13,3.13,3.80%,5.80%,24.60%,-9.80%,1.50%
BANX,0.94,29.83,12.33,-,-,0.66,7.76%,-,-,197.50%,0.18%
BASI,8.29,-,-,-,3.50,-0.24,-,-26.00%,-0.60%,-98.40%,8.20%
BATRA,4.07,-,-,-,2.11,-1.35,-,-15.90%,-2.60%,-409.00%,3.81%
BATRK,4.04,-,-,-,-,-2.70,-,-,-,-,10.00%
BBBY,1.49,-,20.14,-,0.76,-1.88,3.35%,-11.10%,-16.40%,255.90%,2.40%
BBCP,0.70,-,28.76,-,1.41,-1.14,-,-20.30%,0.50%,2.70%,7.40%
BBGI,0.18,-,8.61,-,1.01,-0.86,-,-9.00%,5.80%,-174.90%,29.89%
BBH,-,-,-,-,-,-,0.30%,-,-,-,-
BBI,1.01,-,-,-,0.03,-2.41,-,-187.40%,-291.40%,90.70%,1.20%
BBIG,1.10,-,-,-,0.72,-1.53,-,-98.70%,-92.90%,40.20%,13.60%
BBIO,35.14,-,-,-,2.88,-3.42,-,-132.00%,-53.30%,-91.40%,7.40%
BBQ,1.41,7.08,-,0.71,0.96,0.65,-,46.10%,-3.30%,626.80%,0.90%
BBSI,2.63,13.67,13.66,0.91,0.02,4.97,1.77%,21.60%,21.40%,-25.90%,1.60%
BCBP,0.75,10.45,13.02,1.05,0.15,1.02,5.26%,7.20%,25.80%,58.00%,6.10%
BCDA,7.39,-,-,-,0.12,-1.96,-,-496.90%,-613.90%,51.50%,11.60%
BCDAW,,,,,,,,,,,
BCEL,2.00,-,-,-,0.00,-2.82,-,-43.20%,-,-16.30%,1.30%
BCLI,6.55,-,-,-,0.00,-1.02,-,-339.90%,-,43.10%,1.00%
BCML,0.71,13.56,9.23,1.36,0.28,1.12,-,5.40%,22.60%,-40.60%,4.10%
BCOR,1.75,-,7.89,-,1.54,-5.75,-,-64.30%,6.60%,57.50%,0.90%
BCOV,8.52,-,44.25,-,0.00,-0.38,-,-20.30%,-29.20%,142.00%,0.90%
BCOW,,,,,,,,,,,
BCPC,4.06,40.55,30.63,1.69,0.24,2.55,0.50%,10.60%,8.60%,4.10%,0.75%
BCRX,26.53,-,-,-,2.26,-0.76,-,-328.70%,-84.10%,23.30%,0.10%
BCTG,-,-,-,-,-,-,-,-,-,-,21.57%
BCYC,3.66,-,-,-,0.13,-2.07,-,-42.70%,-27.90%,1.50%,29.90%
BDGE,0.90,9.31,8.80,-,0.15,2.54,4.05%,9.90%,21.30%,19.30%,5.40%
BDSI,4.05,27.90,8.41,1.12,0.82,0.14,-,18.10%,2.90%,2550.60%,1.50%
BDSX,-,-,-,-,-,-21.68,-,-,13.90%,-,3.50%
BDTX,3.58,-,-,-,0.00,-1.72,-,-22.30%,-,-75.60%,2.10%
BEAM,14.34,-,-,-,0.03,-3.10,-,-107.10%,-,-40.00%,1.70%
BEAT,4.73,113.04,26.29,4.52,0.40,0.48,-,4.60%,7.60%,-19.70%,2.89%
BECN,1.42,-,10.91,-,1.57,-1.53,-,-6.00%,1.00%,206.50%,0.20%
BEEM,13.14,-,-,-,0.02,-0.77,-,-55.80%,-54.60%,-39.30%,2.90%
BEEMW,,,,,,,,,,,
BELFA,,,,,,,,,,,
BELFB,1.02,62.77,20.49,-,-,0.24,1.90%,-,-,-,3.30%
BFC,,,,,,,,,,,
BFIN,0.71,12.41,16.92,1.55,0.00,0.67,4.83%,5.80%,25.30%,-48.60%,0.20%
BFIT,-,-,-,-,-,-,0.37%,-,-,-,-
BFRA,10.34,-,-,-,-,-0.76,-,-,-,-,-
BFST,1.04,15.00,11.66,-,0.36,1.34,2.00%,6.50%,23.10%,15.10%,1.30%
BGCP,2.10,35.46,6.12,2.84,1.82,0.12,0.95%,6.60%,4.80%,627.90%,0.10%
BGFV,0.93,5.71,7.37,-,0.03,1.63,4.31%,18.70%,4.50%,332.20%,2.10%
BGNE,4.68,-,-,-,0.05,-21.27,-,-57.10%,-85.60%,5.90%,20.40%
BGRN,-,-,-,-,-,-,2.93%,-,-,-,-
BHAT,0.68,3.15,-,-,0.04,0.28,-,-,17.80%,-88.40%,64.75%
BHF,0.19,-,3.18,-,0.22,-16.52,-,-6.00%,-2.60%,-636.10%,0.10%
BHFAL,,,,,,,,,,,
BHFAN,-,-,-,-,-,-,-,-,-,-,-
BHFAO,,,,,,,,,,,
BHFAP,,,,,,,,,,,
BHSEU,-,-,-,-,-,-,-,-,-,-,4.85%
BHTG,-,-,-,-,-,-0.63,-,255.60%,-21.60%,-27.00%,22.22%
BIB,-,-,-,-,-,-,-,-,-,-,-
BICK,-,-,-,-,-,-,0.65%,-,-,-,-
BIDU,1.82,13.83,14.08,10.19,0.39,10.39,-,14.10%,2.20%,317.50%,15.60%
BIGC,31.66,-,-,-,0.14,-0.45,-,-,19.00%,35.80%,20.80%
BIIB,3.60,8.17,9.76,-,0.69,30.21,-,42.40%,30.50%,-46.80%,0.10%
BILI,17.36,-,-,-,1.07,-1.14,-,-33.30%,-14.60%,-147.40%,20.88%
BIMI,1.41,-,-,-,0.36,-0.03,-,-,-19.50%,-169.60%,49.33%
BIOC,2.57,-,-,-,0.11,-3.96,-,-125.10%,-178.70%,82.60%,0.02%
BIOL,1.88,-,-,-,1.17,-0.50,-,-,-112.90%,14.70%,10.63%
BIS,-,-,-,-,-,-,0.85%,-,-,-,-
BIVI,3.74,-,-,-,0.00,-7.53,-,-,-,-,0.30%
BJK,-,-,-,-,-,-,3.38%,-,-,-,-
BJRI,2.53,-,68.96,-,0.41,-1.16,-,-8.50%,11.10%,-264.50%,0.90%
BKCC,0.68,-,6.55,-,-,-1.67,13.89%,-,-,-,1.78%
BKEP,0.20,-,8.89,-,0.00,-0.22,9.47%,-2.80%,5.60%,626.10%,0.50%
BKEPP,,,,,,,,,,,
BKNG,17.32,62.31,37.32,29.64,2.40,33.36,-,29.90%,29.10%,-57.00%,0.20%
BKSC,1.66,12.55,-,-,-,1.31,4.14%,-,30.70%,-15.50%,2.60%
BKYI,1.07,-,-,-,0.01,-8.24,-,-381.00%,-,49.70%,7.60%
BL,16.24,-,218.25,-,0.96,-0.70,-,-9.70%,-3.80%,7.60%,1.00%
BLBD,-,37.96,11.52,2.53,-,0.43,-,-18.00%,30.20%,-91.30%,0.70%
BLCM,-,-,-,-,-,-11.06,-,207.60%,-832.00%,97.40%,0.32%
BLCN,-,-,-,-,-,-,0.64%,-,-,-,-
BLCT,-,-,31.32,-,-,-2.92,-,-,3.80%,80.10%,1.28%
BLDP,9.47,-,-,-,0.04,-0.19,-,-15.10%,-10.20%,-14.00%,0.50%
BLDR,4.08,19.29,12.04,3.86,1.59,1.83,-,24.00%,14.10%,9.20%,1.50%
BLFS,5.94,-,377.42,-,0.00,-0.27,-,-7.40%,26.30%,-108.80%,2.30%
BLI,20.31,-,-,-,0.08,-,-,-,13.70%,-,0.40%
BLIN,3.37,-,10.48,-,0.34,-0.80,-,-65.40%,-297.40%,-112.30%,1.36%
BLKB,6.02,117.97,20.11,-,1.15,0.47,-,5.60%,3.30%,5.90%,0.20%
BLMN,302.33,-,15.60,-,225.08,-1.38,-,-166.40%,15.10%,-290.20%,1.00%
BLNK,44.23,-,-,-,0.06,-0.45,-,-152.10%,-133.60%,-24.80%,0.40%
BLNKW,,,,,,,,,,,
BLPH,1.39,-,-,-,0.00,-3.31,-,-79.20%,-,11.20%,0.70%
BLRX,1.86,-,-,-,-,-1.97,-,-,-,-,-
BLSA,-,-,-,-,-,-,-,-,-,-,-
BLU,1.60,-,-,-,0.01,-0.60,-,-33.20%,-,48.90%,3.30%
BLUE,2.01,-,-,-,0.00,-10.98,-,-45.80%,-63.40%,21.10%,0.50%
BMCH,2.80,23.81,16.15,1.38,0.32,1.93,-,12.60%,8.90%,32.40%,0.40%
BMLP,-,-,-,-,-,-,9.79%,-,-,-,-
BMRA,6.35,-,30.45,-,0.00,-0.32,-,-40.10%,-17.00%,-170.20%,18.12%
BMRC,1.37,15.80,18.60,1.58,0.01,2.29,2.54%,9.00%,24.50%,-20.00%,0.60%
BMRN,3.57,18.46,775.34,0.39,0.36,4.33,-,25.00%,-0.70%,1326.00%,0.30%
BMTC,1.00,18.59,12.67,2.66,0.20,1.66,3.50%,5.50%,16.80%,-18.80%,1.20%
BND,-,-,-,-,-,-,2.38%,-,-,-,-
BNDW,-,-,-,-,-,-,2.79%,-,-,-,-
BNDX,-,-,-,-,-,-,3.24%,-,-,-,-
BNFT,-,-,-,-,-,-1.03,-,76.60%,-9.70%,51.70%,1.30%
BNGO,4.46,-,-,-,1.09,-0.75,-,-748.80%,-114.90%,86.20%,0.06%
BNGOW,,,,,,,,,,,
BNR,7.28,-,-,-,0.02,-0.67,-,-53.40%,20.50%,36.40%,-
BNSO,1.38,61.90,-,-,0.13,0.07,-,2.70%,2.20%,240.20%,53.50%
BNTC,25.64,-,-,-,0.04,-0.04,-,-42.00%,-,-19.20%,16.04%
BNTX,26.15,-,7.26,-,0.33,-,-,-,-31.40%,-314.60%,1.18%
BOCH,0.93,12.31,11.18,1.76,0.00,0.78,2.08%,7.90%,24.70%,1.60%,0.60%
BOKF,0.93,12.57,11.02,1.80,0.45,5.55,2.98%,7.70%,18.20%,9.40%,0.30%
BOKFL,,,,,,,,,,,
BOMN,1.63,-,58.82,-,0.06,-0.61,-,-3.90%,-3.40%,356.70%,0.10%
BOOM,3.75,-,90.34,-,0.07,-0.42,-,2.10%,19.20%,-85.50%,0.90%
BOSC,0.91,-,-,-,0.27,-0.24,-,-7.90%,-3.80%,-70.30%,24.20%
BOTJ,0.82,11.05,-,-,0.11,1.10,2.30%,8.60%,32.10%,-39.80%,6.90%
BOTZ,-,-,-,-,-,-,0.34%,-,-,-,-
BOWX,,,,,,,,,,,
BOWXU,-,-,-,-,-,-,-,-,-,-,-
BOWXW,,,,,,,,,,,
BOXL,1.58,-,39.50,-,0.51,-0.62,-,-80.70%,-141.80%,-116.90%,25.43%
BPFH,0.73,14.97,12.64,1.47,0.13,0.51,3.17%,5.10%,22.60%,14.10%,0.60%
BPMC,4.41,19.44,-,0.87,0.00,5.43,-,43.70%,-77.80%,679.30%,1.10%
BPOP,0.72,8.96,8.98,1.79,0.15,5.61,3.18%,8.50%,23.00%,17.70%,0.60%
BPOPM,,,,,,,,,,,
BPOPN,,,,,,,,,,,
BPRN,,,,,,,,,,,
BPTH,0.95,-,-,-,0.00,-3.00,-,-62.90%,-,-3.00%,1.02%
BPY,0.56,-,-,-,0.00,-1.00,8.78%,-,0.80%,-,0.84%
BPYPN,,,,,,,,,,,
BPYPO,,,,,,,,,,,
BPYPP,,,,,,,,,,,
BPYU,0.38,8.77,-,-,9.58,1.79,8.49%,12.00%,0.90%,-638.60%,0.87%
BPYUP,,,,,,,,,,,
BREZU,,,,,,,,,,,
BRID,2.27,24.34,-,-,0.43,0.74,-,9.70%,8.00%,183.50%,0.40%
BRKL,0.99,21.43,12.67,3.57,0.18,0.55,3.94%,4.60%,19.80%,-16.50%,2.30%
BRKR,8.33,50.86,30.05,7.48,0.87,1.02,0.31%,17.20%,12.70%,-10.70%,25.20%
BRKS,4.36,81.44,33.90,6.79,0.04,0.88,0.56%,5.50%,5.40%,174.80%,1.30%
BRLI,-,-,-,-,-,-,-,-,-,-,-
BRLIR,,,,,,,,,,,
BRLIU,-,-,-,-,-,-,-,-,-,-,-
BRLIW,,,,,,,,,,,
BROG,7.79,-,-,-,0.71,-0.70,-,-40.40%,-35.80%,-,5.21%
BROGW,,,,,,,,,,,
BRP,4.41,-,38.50,-,0.45,-0.27,-,-9.70%,-10.40%,-57.90%,56.70%
BRPA,9.15,-,-,-,0.78,-0.01,-,-0.20%,-,-577.30%,71.78%
BRPAR,,,,,,,,,,,
BRPAU,,,,,,,,,,,
BRPAW,,,,,,,,,,,
BRQS,-,-,-,-,-,-0.95,-,-,107.20%,-956.20%,26.85%
BRY,0.40,-,-,-,0.51,-2.58,-,-24.30%,5.70%,-136.40%,0.60%
BSAE,-,-,-,-,-,-,3.78%,-,-,-,-
BSBE,-,-,-,-,-,-,4.02%,-,-,-,-
BSBK,0.85,71.25,-,-,0.00,0.12,-,1.60%,13.80%,48.20%,0.80%
BSCE,,,,,,,,,,,
BSCK,-,-,-,-,-,-,1.84%,-,-,-,-
BSCL,-,-,-,-,-,-,2.35%,-,-,-,-
BSCM,-,-,-,-,-,-,2.43%,-,-,-,-
BSCN,-,-,-,-,-,-,2.47%,-,-,-,-
BSCO,-,-,-,-,-,-,2.56%,-,-,-,-
BSCP,-,-,-,-,-,-,2.62%,-,-,-,-
BSCQ,-,-,-,-,-,-,2.57%,-,-,-,-
BSCR,-,-,-,-,-,-,2.65%,-,-,-,-
BSCS,-,-,-,-,-,-,2.69%,-,-,-,-
BSCT,-,-,-,-,-,-,2.54%,-,-,-,-
BSCU,,,,,,,,,,,
BSDE,-,-,-,-,-,-,3.76%,-,-,-,-
BSET,1.13,-,14.58,-,0.01,-2.22,2.88%,-13.40%,-0.40%,3.70%,3.70%
BSGM,4.73,-,-,-,0.00,-2.23,-,-257.40%,-,-53.40%,6.30%
BSJK,-,-,-,-,-,-,2.05%,-,-,-,-
BSJL,-,-,-,-,-,-,4.24%,-,-,-,-
BSJM,-,-,-,-,-,-,4.47%,-,-,-,-
BSJN,-,-,-,-,-,-,4.96%,-,-,-,-
BSJO,-,-,-,-,-,-,4.76%,-,-,-,-
BSJP,-,-,-,-,-,-,5.30%,-,-,-,-
BSJQ,-,-,-,-,-,-,5.01%,-,-,-,-
BSJR,-,-,-,-,-,-,4.70%,-,-,-,-
BSJS,,,,,,,,,,,
BSML,-,-,-,-,-,-,0.87%,-,-,-,-
BSMM,-,-,-,-,-,-,1.02%,-,-,-,-
BSMN,-,-,-,-,-,-,1.06%,-,-,-,-
BSMO,-,-,-,-,-,-,1.21%,-,-,-,-
BSMP,-,-,-,-,-,-,1.39%,-,-,-,-
BSMQ,-,-,-,-,-,-,1.67%,-,-,-,-
BSMR,-,-,-,-,-,-,1.64%,-,-,-,-
BSMS,-,-,-,-,-,-,1.81%,-,-,-,-
BSMT,-,-,-,-,-,-,1.89%,-,-,-,-
BSMU,,,,,,,,,,,
BSQR,2.08,-,-,-,0.19,-0.24,-,-33.70%,-96.20%,87.90%,5.90%
BSRR,1.03,9.80,9.84,1.22,0.10,2.33,3.51%,11.10%,24.10%,16.00%,8.50%
BSVN,,,,,,,,,,,
BSY,1149.33,81.32,54.73,5.77,81.93,0.42,0.35%,-,20.80%,-71.50%,46.10%
BTAI,4.71,-,-,-,0.00,-3.37,-,-74.20%,-,-87.60%,39.80%
BTAQ,-,-,-,-,-,-,-,-,-,-,-
BTAQU,,,,,,,,,,,
BTAQW,,,,,,,,,,,
BTBT,10.79,-,-,-,0.00,-0.22,-,-85.90%,-272.60%,60.20%,25.65%
BTEC,-,-,-,-,-,-,-,-,-,-,-
BTWNU,-,-,-,-,-,-,-,-,-,-,-
BUG,-,-,-,-,-,-,0.62%,-,-,-,-
BUSE,0.91,11.38,11.36,1.90,0.23,1.83,4.22%,8.20%,17.10%,26.20%,2.70%
BVXV,-,-,-,-,-,-3.11,-,209.00%,-,46.60%,37.10%
BWACU,-,-,-,-,-,-,-,-,-,-,-
BWAY,3.92,-,-,-,-,-0.65,-,-,-,-,2.89%
BWB,1.30,11.43,11.33,0.76,0.32,1.05,-,12.10%,22.80%,-7.10%,9.40%
BWEN,1.74,-,14.70,-,0.49,-0.07,-,-2.60%,-4.30%,-7.50%,3.40%
BWFG,0.83,16.27,11.69,-,0.14,1.15,2.99%,5.10%,23.40%,-26.80%,7.10%
BWMX,3.71,-,11.67,-,0.00,-0.01,5.31%,-0.20%,-,67.10%,90.26%
BXRX,-,-,-,-,-,-5.85,-,168.90%,-,154.80%,0.40%
BYFC,0.96,-,-,-,0.07,-0.01,-,-0.30%,20.40%,13.00%,26.60%
BYND,22.82,-,756.99,-,0.13,-0.45,-,-7.30%,-0.10%,-597.10%,3.20%
BYSI,13.42,-,-,-,0.09,-2.04,-,-220.70%,-,-29.60%,67.71%
BZUN,2.68,47.10,22.94,9.80,0.45,0.83,-,9.70%,6.00%,62.60%,0.82%
CAAS,0.88,-,23.00,-,0.17,0.00,-,0.00%,1.30%,-44.70%,62.55%
CABA,3.05,-,-,-,0.00,-1.24,-,-23.00%,-,-75.00%,5.23%
CAC,1.03,9.60,11.55,-,0.11,3.73,3.69%,11.30%,20.70%,18.70%,0.80%
CACC,2.52,14.24,12.82,0.71,2.00,22.88,-,19.20%,12.40%,55.40%,12.50%
CACG,-,-,-,-,-,-,0.58%,-,-,-,-
CAKE,5.29,-,24.36,-,1.17,-4.36,-,-45.90%,10.50%,-307.60%,7.09%
CALA,2.68,-,-,-,0.00,-1.39,-,-66.60%,-,14.60%,0.72%
CALB,,,,,,,,,,,
CALM,1.91,42.85,22.83,0.60,0.00,0.91,0.70%,4.60%,0.00%,57.70%,7.10%
CALT,-,-,-,-,-,-,-,-,-,-,-
CAMP,2.71,-,23.12,-,1.72,-2.57,-,-60.90%,-18.10%,-26.00%,2.40%
CAMT,4.74,39.66,25.64,2.64,0.00,0.47,0.91%,13.00%,14.70%,42.00%,62.70%
CAN,5.95,-,-,-,0.30,-0.73,-,-104.60%,-128.50%,93.60%,-
CAPA,,,,,,,,,,,
CAPAU,,,,,,,,,,,
CAPAW,,,,,,,,,,,
CAPR,2.69,-,-,-,0.12,-1.07,-,-55.80%,-75.80%,53.90%,0.50%
CAR,-,-,12560.00,-,-,-6.52,-,-251.50%,4.90%,-74.30%,0.30%
CARA,5.46,-,-,-,0.00,-2.12,-,-64.40%,-59.40%,52.30%,2.10%
CARE,0.59,-,20.64,-,0.00,-1.71,-,-9.70%,22.80%,-857.90%,2.50%
CARG,8.35,43.37,22.90,1.40,0.00,0.58,-,22.40%,14.70%,211.90%,2.60%
CARV,0.95,-,-,-,0.00,-1.31,-,-49.40%,420.40%,24.50%,2.00%
CARZ,-,-,-,-,-,-,1.14%,-,-,-,-
CASA,10.14,-,19.20,-,6.09,-0.29,-,-58.30%,-9.90%,140.20%,0.80%
CASH,1.46,11.91,8.62,-,0.12,2.92,0.57%,14.90%,22.40%,-30.10%,1.20%
CASI,3.12,-,-,-,0.00,-0.45,-,-63.00%,-64.30%,-42.90%,4.10%
CASS,2.46,25.08,-,-,2.13,1.72,2.50%,10.20%,4.60%,-28.70%,0.80%
CASY,3.89,22.95,23.14,3.23,0.73,8.02,0.70%,18.30%,10.40%,39.90%,0.30%
CATB,0.82,-,-,-,0.00,-2.14,-,-73.70%,-,0.20%,0.13%
CATC,1.20,15.85,10.94,-,0.03,4.30,3.11%,7.60%,23.40%,22.70%,0.50%
CATH,-,-,-,-,-,-,1.35%,-,-,-,-
CATM,3.35,49.41,13.64,-,2.67,0.51,-,6.70%,6.30%,-72.30%,0.10%
CATY,0.97,10.29,10.73,1.29,0.06,2.82,4.27%,9.70%,20.80%,-21.80%,0.40%
CBAN,0.95,13.72,12.25,1.96,0.27,1.02,2.86%,6.20%,26.20%,23.00%,0.50%
CBAT,26.58,-,-,-,1.97,-0.14,-,-51.90%,-20.20%,101.60%,29.20%
CBAY,3.15,-,-,-,0.00,-0.94,-,-37.80%,-,56.70%,0.40%
CBFV,0.91,-,16.65,-,0.00,-1.68,4.29%,-6.10%,26.90%,-569.80%,1.80%
CBIO,1.36,-,-,-,0.00,-3.10,-,-55.20%,-,31.30%,0.40%
CBLI,-,-,-,-,-,-0.20,-,76.10%,52.50%,-44.00%,56.41%
CBMB,0.87,67.95,-,-,0.00,0.20,-,1.30%,11.80%,-6.60%,13.97%
CBMG,20.93,-,-,-,2.77,-2.83,-,-145.40%,-72.80%,-6.40%,45.09%
CBNK,1.13,8.06,8.67,-,0.12,1.52,-,15.10%,39.60%,90.90%,1.00%
CBPO,2.44,33.35,22.25,2.77,0.00,3.56,-,7.90%,8.00%,-18.20%,48.20%
CBRL,8.02,-,17.00,-,2.27,-1.41,3.67%,-6.30%,9.70%,-60.80%,1.70%
CBSH,2.12,22.44,18.33,-,0.00,2.82,1.71%,10.00%,22.10%,19.30%,2.20%
CBTX,1.05,19.95,19.88,-,0.00,1.15,1.74%,5.30%,22.60%,-50.30%,3.80%
CCAP,-,-,7.85,-,-,-,11.74%,-,-,1305.50%,16.14%
CCB,,,,,,,,,,,
CCBG,1.14,12.59,14.14,2.10,0.15,1.92,2.48%,9.50%,24.00%,22.50%,0.30%
CCCC,-,-,-,-,-,-,-,-,32.40%,-,1.60%
CCD,-,-,-,-,-,-,7.35%,-,-,-,13.93%
CCLP,-,-,-,-,-,-1.10,4.30%,-225.20%,4.90%,-247.00%,0.60%
CCMP,4.05,31.03,19.80,2.39,0.86,4.83,1.18%,13.80%,9.30%,279.80%,0.70%
CCNC,1.81,-,-,-,0.02,-0.03,-,-,-7.00%,-292.90%,13.60%
CCNE,0.94,8.96,9.49,-,0.20,2.27,3.35%,10.70%,27.00%,-31.30%,2.30%
CCNEP,,,,,,,,,,,
CCOI,-,131.47,60.32,-,-,0.43,5.12%,-8.80%,11.20%,-136.30%,0.50%
CCRC,1.38,6.87,-,-,0.07,0.71,-,23.30%,14.80%,70.60%,34.51%
CCRN,2.13,-,28.50,-,0.00,-0.52,-,-12.10%,-21.20%,57.70%,3.80%
CCXI,9.51,-,-,-,0.06,-0.67,-,-17.20%,-68.00%,-58.00%,3.50%
CD,-,-,-,-,1.25,-0.11,-,-,-0.90%,-7.40%,-
CDAK,-,-,-,-,-,-0.98,-,-,43.80%,8.70%,2.80%
CDC,-,-,-,-,-,-,2.81%,-,-,-,-
CDEV,0.13,-,-,-,0.41,-2.12,-,-20.50%,1.70%,-,3.50%
CDK,-,21.41,13.64,2.14,-,2.26,1.24%,-30.20%,20.60%,-26.30%,0.40%
CDL,-,-,-,-,-,-,3.85%,-,-,-,-
CDLX,21.01,-,-,-,1.14,-1.67,-,-32.20%,-12.10%,-70.80%,3.10%
CDMO,11.59,-,190.00,-,0.00,-0.14,-,-,-23.60%,176.60%,7.46%
CDMOP,,,,,,,,,,,
CDNA,10.86,-,293.20,-,0.00,-0.45,-,-10.90%,-22.80%,-34.40%,2.20%
CDNS,13.32,30.27,40.62,1.97,0.29,3.85,-,48.30%,40.90%,59.60%,0.80%
CDTX,3.13,-,-,-,0.27,-1.65,-,-165.60%,-87.30%,-619.50%,0.90%
CDW,15.12,25.88,19.62,2.62,3.17,5.07,1.22%,71.00%,22.20%,-2.60%,0.10%
CDXC,15.31,-,-,-,0.01,-0.38,-,-116.20%,-,45.30%,0.10%
CDXS,12.26,-,-,-,0.00,-0.35,-,-21.20%,-11.90%,-,1.10%
CDZI,-,-,-,-,-,-1.19,-,100.10%,-17.10%,53.50%,0.80%
CECE,1.31,17.66,15.10,1.18,0.38,0.42,-,7.50%,8.40%,-112.50%,6.30%
CEFA,,,,,,,,,,,
CELC,7.44,-,-,-,0.00,-0.85,-,-52.60%,-,-24.30%,39.00%
CELH,25.18,467.24,253.64,-,0.10,0.08,-,7.70%,-2.00%,313.20%,0.80%
CEMI,4.17,-,-,-,0.54,-1.21,-,-77.60%,-30.50%,-23.20%,13.89%
CENT,1.95,17.73,18.23,2.36,0.64,2.22,-,11.80%,9.20%,484.10%,13.70%
CENTA,1.84,16.44,16.66,2.79,-,2.20,-,-,-,456.90%,6.37%
CENX,1.52,-,-,-,0.58,-1.04,-,-7.30%,-6.60%,-28.90%,1.40%
CERC,4.86,-,-,-,0.00,-0.92,-,-,-78.20%,-161.30%,0.40%
CERE,-,-,-,-,-,-24.64,-,-,-,-,21.96%
CEREW,,,,,,,,,,,
CERN,5.24,29.52,23.44,2.80,0.00,2.56,0.95%,19.10%,8.90%,350.50%,0.14%
CERS,10.67,-,-,-,0.41,-0.40,-,-63.50%,-65.50%,33.40%,1.10%
CETX,0.45,-,-,-,0.47,-3.04,-,-,-18.50%,72.30%,12.17%
CETXP,,,,,,,,,,,
CETXW,,,,,,,,,,,
CEVA,3.39,-,55.62,-,0.00,-0.01,-,0.00%,-1.30%,-196.40%,1.40%
CEY,-,-,-,-,-,-,4.82%,-,-,-,-
CEZ,-,-,-,-,-,-,2.34%,-,-,-,-
CFA,-,-,-,-,-,-,1.41%,-,-,-,-
CFACU,-,-,-,-,-,0.00,-,-,-,-,-
CFB,0.80,143.33,14.46,-,0.00,0.07,-,0.60%,17.90%,-25.00%,0.60%
CFBI,,,,,,,,,,,
CFBK,0.94,4.09,5.56,-,0.14,3.61,0.81%,23.30%,20.20%,163.40%,0.30%
CFFI,0.73,7.33,-,-,0.49,5.11,4.05%,10.30%,25.20%,30.90%,5.51%
CFFN,1.32,26.39,23.30,5.28,0.00,0.47,2.75%,5.00%,13.50%,-18.30%,0.20%
CFII,,,,,,,,,,,
CFIIU,-,-,-,-,-,-,-,-,-,-,-
CFIIW,,,,,,,,,,,
CFMS,2.50,-,-,-,0.00,-0.34,-,-174.00%,-70.10%,35.40%,3.20%
CFO,-,-,-,-,-,-,1.04%,-,-,-,-
CFRX,9.02,-,-,-,0.00,-2.49,-,-226.00%,-,118.40%,8.76%
